Time (minutes),Screen Brightness,App Usage,Network Activity,Power (W),SOC
0,0.1,0.2,0.1,0.81,1.0
20,0.1,0.2,0.1,0.81,0.99973
40,0.1,0.2,0.1,0.81,0.9994600729
60,0.1,0.2,0.1,0.81,0.9991902186803171
80,0.1,0.2,0.1,0.81,0.9989204373212734
100,0.1,0.2,0.1,0.81,0.9986507288031967
120,0.1,0.2,0.1,0.81,0.9983810931064199
140,0.1,0.2,0.1,0.81,0.9981115302112812
160,0.1,0.2,0.1,0.81,0.9978420400981242
180,0.1,0.2,0.1,0.81,0.9975726227472976
200,0.1,0.2,0.1,0.81,0.9973032781391559
220,0.1,0.2,0.1,0.81,0.9970340062540582
240,0.1,0.2,0.1,0.81,0.9967648070723697
260,0.1,0.2,0.1,0.81,0.9964956805744601
280,0.1,0.2,0.1,0.81,0.9962266267407051
300,0.1,0.2,0.1,0.81,0.995957645551485
320,0.1,0.2,0.1,0.81,0.9956887369871861
340,0.1,0.2,0.1,0.81,0.9954199010281995
360,1.0,0.8,0.8,2.54,0.9945771121786623
380,1.0,0.8,0.8,2.54,0.993735036890351
400,1.0,0.8,0.8,2.54,0.9928936745591171
420,1.0,0.8,0.8,2.54,0.9920530245813237
440,1.0,0.8,0.8,2.54,0.9912130863538449
460,1.0,0.8,0.8,2.54,0.9903738592740653
480,1.0,0.8,0.8,2.54,0.9895353427398799
500,1.0,0.8,0.8,2.54,0.9886975361496935
520,1.0,0.8,0.8,2.54,0.98786043890242
540,0.8,0.6,0.7,2.13,0.9871590579907993
560,0.8,0.6,0.7,2.13,0.9864581750596259
580,0.8,0.6,0.7,2.13,0.9857577897553336
600,0.8,0.6,0.7,2.13,0.9850579017246073
620,0.8,0.6,0.7,2.13,0.9843585106143828
640,0.8,0.6,0.7,2.13,0.9836596160718466
660,0.8,0.6,0.7,2.13,0.9829612177444356
680,0.8,0.6,0.7,2.13,0.982263315279837
700,0.8,0.6,0.7,2.13,0.9815659083259883
720,1.0,0.7,0.6,2.36,0.9807937431447719
740,1.0,0.7,0.6,2.36,0.9800221854001646
760,1.0,0.7,0.6,2.36,0.9792512346143165
780,1.0,0.7,0.6,2.36,0.9784808903097533
800,1.0,0.7,0.6,2.36,0.9777111520093763
820,1.0,0.7,0.6,2.36,0.9769420192364623
840,1.0,0.7,0.6,2.36,0.9761734915146629
860,1.0,0.7,0.6,2.36,0.9754055683680047
880,1.0,0.7,0.6,2.36,0.9746382493208886
900,1.0,0.7,0.6,2.36,0.9738715338980896
920,1.0,0.7,0.6,2.36,0.9731054216247564
940,1.0,0.7,0.6,2.36,0.9723399120264117
960,1.0,0.7,0.6,2.36,0.9715750046289509
980,1.0,0.7,0.6,2.36,0.9708106989586427
1000,1.0,0.7,0.6,2.36,0.9700469945421286
1020,1.0,0.7,0.6,2.36,0.9692838909064222
1040,1.0,0.7,0.6,2.36,0.9685213875789092
1060,1.0,0.7,0.6,2.36,0.9677594840873471
1080,0.3,0.4,0.5,1.37,0.967317540589614
1100,0.3,0.4,0.5,1.37,0.9668757989127447
1120,0.3,0.4,0.5,1.37,0.9664342589645745
1140,0.3,0.4,0.5,1.37,0.9659929206529806
1160,0.3,0.4,0.5,1.37,0.9655517838858824
1180,0.3,0.4,0.5,1.37,0.9651108485712412
1200,0.3,0.4,0.5,1.37,0.9646701146170603
1220,0.3,0.4,0.5,1.37,0.9642295819313852
1240,0.3,0.4,0.5,1.37,0.9637892504223032
1260,0.3,0.4,0.5,1.37,0.9633491199979437
1280,0.3,0.4,0.5,1.37,0.962909190566478
1300,0.3,0.4,0.5,1.37,0.9624694620361193
1320,0.3,0.4,0.5,1.37,0.9620299343151227
1340,0.3,0.4,0.5,1.37,0.9615906073117855
1360,0.3,0.4,0.5,1.37,0.9611514809344465
1380,0.3,0.4,0.5,1.37,0.9607125550914865
1400,0.3,0.4,0.5,1.37,0.960273829691328
1420,0.3,0.4,0.5,1.37,0.9598353046424356
